Mean,,,,,,,Std,,,,,,
,weekDay,Trips.over.the.past.24.hours,Miles.traveled.today,Annual.Member.Sign.Ups,X24.Hour.Passes.Purchased,X7.Day.Passes.Purchased,,weekDay,Trips.over.the.past.24.hours,Miles.traveled.today,Annual.Member.Sign.Ups,X24.Hour.Passes.Purchased,X7.Day.Passes.Purchased
WeekDay,1,8641.4,11590.92,10.72,70.4,5.6,,1,4157.218221,6157.714382,10.74910849,100.0520698,6.770032004
Weekend,2,10385.81818,14155.90909,15,105.5454545,9.636363636,,2,4682.058646,6625.383241,12.81405478,82.91123402,7.406385451
